,,,Date,Sale Amount,Deed Type,Book/Page,Sale Type,Qualified,Built,Bed,Bath,Living,Acres,Pool,,
,Subdivision: SUTTON PLACE TOWNHOMES A REPLAT - 65 items,,,,,,,,,,,,,,,
,,Parcel #: 16-21-29-531-0000-0440 - 1 item,,,,,,,,,,,,,,
,,,Address: 216 STARDALE LN - 6 items,,,,,,,,,,,,,
,,,06/2013,"$175,000",WARRANTY DEED,08065/1207,Improved,Yes,2010,3,2.5,1708,0.03,false,,
,,,06/2010,"$161,800",SPECIAL WARRANTY DEED,07403/0001,Improved,Yes,2010,3,2.5,1708,0.03,false,,
,,,07/2019,"$200,000",WARRANTY DEED,09411/0742,Improved,Yes,2010,3,2.5,1708,0.03,false,,
,,,11/2020,"$257,200",WARRANTY DEED,09776/0820,Improved,No,2010,3,2.5,1708,0.03,false,,
,,,04/2021,"$260,000",WARRANTY DEED,09911/0895,Improved,Yes,2010,3,2.5,1708,0.03,false,,
,,,07/2023,"$353,000",WARRANTY DEED,10475/0574,Improved,Yes,2010,3,2.5,1708,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0450 - 1 item,,,,,,,,,,,,,,
,,,Address: 213 SILVERGLEN LN - 2 items,,,,,,,,,,,,,
,,,03/2012,"$150,614",SPECIAL WARRANTY DEED,07727/0104,Improved,Yes,2012,3,2.5,1708,0.03,false,,
,,,12/2015,"$187,000",WARRANTY DEED,08608/1300,Improved,Yes,2012,3,2.5,1708,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0460 - 1 item,,,,,,,,,,,,,,
,,,Address: 211 SILVERGLEN LN - 1 item,,,,,,,,,,,,,
,,,03/2012,"$136,000",SPECIAL WARRANTY DEED,07743/1176,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0470 - 1 item,,,,,,,,,,,,,,
,,,Address: 209 SILVERGLEN LN - 1 item,,,,,,,,,,,,,
,,,01/2012,"$126,400",SPECIAL WARRANTY DEED,07703/1579,Improved,Yes,2012,2,2.5,1443,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0480 - 1 item,,,,,,,,,,,,,,
,,,Address: 207 SILVERGLEN LN - 3 items,,,,,,,,,,,,,
,,,10/2016,"$180,000",WARRANTY DEED,08794/1660,Improved,Yes,2012,2,2.5,1443,0.03,false,,
,,,01/2012,"$120,900",SPECIAL WARRANTY DEED,07703/1557,Improved,Yes,2012,2,2.5,1443,0.03,false,,
,,,09/2020,"$220,000",WARRANTY DEED,09702/1788,Improved,Yes,2012,2,2.5,1443,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0490 - 1 item,,,,,,,,,,,,,,
,,,Address: 205 SILVERGLEN LN - 2 items,,,,,,,,,,,,,
,,,10/2014,"$175,000",WARRANTY DEED,08369/0604,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,,01/2012,"$134,400",WARRANTY DEED,07701/1141,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0500 - 1 item,,,,,,,,,,,,,,
,,,Address: 203 SILVERGLEN LN - 2 items,,,,,,,,,,,,,
,,,09/2016,"$198,000",WARRANTY DEED,08773/1967,Improved,Yes,2012,3,2.5,1708,0.03,false,,
,,,01/2012,"$144,900",SPECIAL WARRANTY DEED,07700/1261,Improved,Yes,2012,3,2.5,1708,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0510 - 1 item,,,,,,,,,,,,,,
,,,Address: 206 SILVERGLEN LN - 3 items,,,,,,,,,,,,,
,,,09/2015,"$189,900",WARRANTY DEED,08549/1261,Improved,Yes,2011,3,2.5,1708,0.03,false,,
,,,06/2011,"$142,800",SPECIAL WARRANTY DEED,07595/0263,Improved,Yes,2011,3,2.5,1708,0.03,false,,
,,,05/2020,"$230,000",WARRANTY DEED,09601/0653,Improved,Yes,2011,3,2.5,1708,0.03,false,,
